RP:1	PR:LOC:(63548356,63556669)@chr19@Human
RP:10	PR:LOC:(18293035,18302962)@chr8@Human
RP:100	PR:LOC:(42681578,42713790)@chr20@Human
RP:1000	PR:LOC:(23784935,24011189)@chr18@Human
RP:10000	PR:LOC:(239977576,240332594)@chr1@Human
RP:10001	PR:LOC:(70120710,70137137)@chr14@Human
RP:10002	PR:LOC:(69889948,69897654)@chr15@Human
RP:10003	PR:LOC:(89507530,89565424)@chr11@Human
RP:10004	PR:LOC:(64569284,64582585)@chr11@Human
RP:10005	PR:LOC:(43903768,43919442)@chr20@Human
RP:10006	PR:LOC:(27076751,27189872)@chr10@Human
RP:10007	PR:LOC:(141360424,141372776)@chr5@Human
RP:10008	PR:LOC:(73843806,73850798)@chr11@Human
RP:10009	PR:LOC:(119166489,119174133)@chrX@Human
RP:1001	PR:LOC:(67236277,67290443)@chr16@Human
RP:10010	PR:LOC:(161818973,161918189)@chr2@Human
RP:10011	PR:LOC:(139910469,139917257)@chr5@Human
RP:10013	PR:LOC:(48416736,48439629)@chrX@Human
RP:10014	PR:LOC:(39509647,39556512)@chr17@Human
RP:10015	PR:LOC:(33815086,33883502)@chr3@Human
RP:10016	PR:LOC:(324739,368089)@chr5@Human
RP:10017	PR:LOC:(50189114,50192264)@chr15@Human
RP:10018	PR:LOC:(111597541,111640818)@chr2@Human
RP:10019	PR:LOC:(110306472,110352147)@chr12@Human
RP:1002	PR:LOC:(59260952,59945694)@chr20@Human
RP:10020	PR:LOC:(36204441,36248401)@chr9@Human
RP:10021	PR:LOC:(71400988,71448230)@chr15@Human
RP:10022	PR:LOC:(66975445,66978960)@chr1@Human
RP:10023	PR:LOC:(99069012,99071662)@chr10@Human
RP:10024	PR:LOC:(48003329,48011781)@chr12@Human
RP:10025	PR:LOC:(818962,844218)@chr19@Human
RP:10026	PR:LOC:(77269410,77397132)@chr1@Human
RP:10029	PR:LOC:(13479896,13498223)@chrY@Human
RP:1003	PR:LOC:(64958064,64996190)@chr16@Human
RP:10031	PR:LOC:(13091740,13093902)@chrY@Human
RP:10033	PR:LOC:(12891729,12906990)@chrY@Human
RP:10034	PR:LOC:(12913506,12937948)@chrY@Human
RP:10036	PR:LOC:(4353774,4394277)@chr19@Human
RP:10038	PR:LOC:(19881639,19895903)@chr14@Human
RP:10039	PR:LOC:(51951525,51957916)@chr3@Human
RP:1004	PR:LOC:(31229553,31360994)@chr5@Human
RP:10040	PR:LOC:(50333203,50394309)@chr17@Human
RP:10042	PR:LOC:(33978050,34016353)@chr22@Human
RP:10043	PR:LOC:(34020415,34068527)@chr22@Human
RP:10044	PR:LOC:(127580152,127620466)@chr9@Human
RP:10045	PR:LOC:(6703175,6718480)@chr19@Human
RP:10046	PR:LOC:(149284288,149353007)@chrX@Human
RP:10047	PR:LOC:(23419766,23424660)@chr20@Human
RP:10048	PR:LOC:(13729710,13819775)@chr6@Human
RP:10049	PR:LOC:(156629186,156709609)@chr7@Human
RP:1005	PR:LOC:(61568468,61699155)@chr18@Human
RP:10050	PR:LOC:(25862935,25888419)@chr6@Human
RP:10051	PR:LOC:(161601085,161635443)@chr3@Human
RP:10052	PR:LOC:(40237521,40238711)@chr17@Human
RP:10053	PR:LOC:(10544347,10558991)@chr19@Human
RP:10054	PR:LOC:(39611153,39652635)@chr19@Human
RP:10055	PR:LOC:(52325984,52405372)@chr19@Human
RP:10056	PR:LOC:(223260765,223346310)@chr2@Human
RP:10057	PR:LOC:(185120424,185218379)@chr3@Human
RP:10058	PR:LOC:(219899999,219909177)@chr2@Human
RP:10059	PR:LOC:(32723491,32788621)@chr12@Human
RP:1006	PR:LOC:(60244736,60627537)@chr16@Human
RP:10060	PR:LOC:(21845245,21980875)@chr12@Human
RP:10061	PR:LOC:(150342571,150361965)@chr7@Human
RP:10062	PR:LOC:(47237309,47246972)@chr11@Human
RP:10063	PR:LOC:(120871062,120878933)@chr3@Human
RP:10064	PR:LOC:(49100673,49101207)@chrX@Human
RP:10066	PR:LOC:(72924250,72952723)@chr15@Human
RP:10067	PR:LOC:(152038844,152045268)@chr1@Human
RP:10068	PR:LOC:(71387587,71394409)@chr11@Human
RP:10069	PR:LOC:(29299951,29313563)@chr21@Human
RP:1007	PR:LOC:(26916466,27074431)@chr5@Human
RP:10071	PR:LOC:(100240599,100255655)@chr7@Human
RP:10072	PR:LOC:(66004471,66033701)@chr11@Human
RP:10073	PR:LOC:(73677481,73705132)@chr15@Human
RP:10075	PR:LOC:(53443291,53596694)@chrX@Human
RP:10076	PR:LOC:(29383640,29473928)@chr1@Human
RP:10077	PR:LOC:(2279819,2296006)@chr11@Human
RP:10078	PR:LOC:(2380099,2381682)@chr11@Human
RP:10079	PR:LOC:(49646724,49818315)@chr20@Human
RP:1008	PR:LOC:(24522967,24680668)@chr5@Human
RP:10081	PR:LOC:(63196771,63213227)@chr15@Human
RP:10082	PR:LOC:(92677096,93853948)@chr13@Human
RP:10083	PR:LOC:(17472018,17522525)@chr11@Human
RP:10084	PR:LOC:(48511784,48516667)@chrX@Human
RP:10085	PR:LOC:(83273882,83716367)@chr5@Human
RP:10086	PR:LOC:(133145218,133162540)@chr8@Human
RP:10087	PR:LOC:(74710821,74843196)@chr5@Human
RP:10089	PR:LOC:(65116903,65120043)@chr11@Human
RP:1009	PR:LOC:(63538186,63713420)@chr16@Human
RP:10090	PR:LOC:(149110157,149439818)@chr6@Human
RP:10092	PR:LOC:(180326991,180336642)@chr1@Human
RP:10093	PR:LOC:(9809734,9823785)@chr3@Human
RP:10094	PR:LOC:(109335427,109350878)@chr12@Human
RP:10095	PR:LOC:(98616980,98637075)@chr7@Human
RP:10096	PR:LOC:(114363767,114432397)@chr2@Human
RP:10097	PR:LOC:(65366622,65408947)@chr2@Human
RP:10098	PR:LOC:(99750584,99936905)@chr4@Human
RP:10099	PR:LOC:(75125387,75150568)@chr15@Human
RP:101	PR:LOC:(134964789,134979211)@chr10@Human
RP:1010	PR:LOC:(21786911,22889488)@chr5@Human
RP:10100	PR:LOC:(115302677,115344127)@chr1@Human
RP:10101	PR:LOC:(1772960,1779187)@chr16@Human
RP:10102	PR:LOC:(56462826,56476784)@chr12@Human
RP:10103	PR:LOC:(46358232,46363650)@chr1@Human
RP:10105	PR:LOC:(80777226,80785096)@chr10@Human
RP:10106	PR:LOC:(56499977,56526789)@chr12@Human
RP:10107	PR:LOC:(30227705,30236690)@chr6@Human
RP:10109	PR:LOC:(218907380,218944577)@chr2@Human
RP:10110	PR:LOC:(41621100,41647687)@chr20@Human
RP:10111	PR:LOC:(131920529,132007498)@chr5@Human
RP:10112	PR:LOC:(137542784,137551261)@chr5@Human
RP:10113	PR:LOC:(27265278,27269193)@chr2@Human
RP:10114	PR:LOC:(33264531,33331690)@chr11@Human
RP:10116	PR:LOC:(66357191,66370694)@chr15@Human
RP:10117	PR:LOC:(71859496,71877571)@chr4@Human
RP:1012	PR:LOC:(81218079,82387702)@chr16@Human
RP:10120	PR:LOC:(97730949,97738902)@chr2@Human
RP:10121	PR:LOC:(104228978,104252452)@chr10@Human
RP:10123	PR:LOC:(235183688,235187693)@chr2@Human
RP:10124	PR:LOC:(12499756,12503799)@chr7@Human
RP:10125	PR:LOC:(36567598,36644224)@chr15@Human
RP:10126	PR:LOC:(37499013,37514654)@chr22@Human
RP:10127	PR:LOC:(3273488,3281461)@chr16@Human
RP:10128	PR:LOC:(44026538,44134795)@chr2@Human
RP:10129	PR:LOC:(31503437,31768771)@chr13@Human
RP:1013	PR:LOC:(87765664,87789401)@chr16@Human
RP:10130	PR:LOC:(10874117,10903558)@chr2@Human
RP:10131	PR:LOC:(3648040,3707514)@chr16@Human
RP:10133	PR:LOC:(13182175,13219292)@chr10@Human
RP:10134	PR:LOC:(152486803,152510727)@chrX@Human
RP:10135	PR:LOC:(105484607,105519318)@chr7@Human
RP:10136	PR:LOC:(22073459,22084335)@chr1@Human
RP:10137	PR:LOC:(33700295,33716252)@chr20@Human
RP:10138	PR:LOC:(40840421,40918264)@chr12@Human
RP:10139	PR:LOC:(61801253,61809809)@chr20@Human
RP:1014	PR:LOC:(65499526,65510267)@chr16@Human
RP:10140	PR:LOC:(46294588,46296412)@chr17@Human
RP:10141	PR:LOC:(5644955,5647600)@chr4@Human
RP:10142	PR:LOC:(91214843,91384640)@chr7@Human
RP:10143	PR:LOC:(76613946,76622239)@chr16@Human
RP:10144	PR:LOC:(90004689,90101559)@chr4@Human
RP:10146	PR:LOC:(151131669,151165108)@chr5@Human
RP:10147	PR:LOC:(18962702,19005368)@chr19@Human
RP:10148	PR:LOC:(4180540,4188525)@chr19@Human
RP:10149	PR:LOC:(18767089,18860521)@chrX@Human
RP:1015	PR:LOC:(95208568,95289986)@chr8@Human
RP:10150	PR:LOC:(96672575,96844375)@chr13@Human
RP:10151	PR:LOC:(43604317,43605859)@chr10@Human
RP:10152	PR:LOC:(204018668,204117838)@chr2@Human
RP:10153	PR:LOC:(37340428,37370391)@chr2@Human
RP:10154	PR:LOC:(93044967,93201693)@chr12@Human
RP:10155	PR:LOC:(63747648,63753894)@chr19@Human
RP:10156	PR:LOC:(101813884,101851111)@chr7@Human
RP:10157	PR:LOC:(121310138,121367827)@chr7@Human
RP:10158	PR:LOC:(47361281,47367791)@chr1@Human
RP:10159	PR:LOC:(40196447,40222128)@chrX@Human
RP:1016	PR:LOC:(19508898,19875110)@chr5@Human
RP:10160	PR:LOC:(97663470,97898828)@chr13@Human
RP:10161	PR:LOC:(47883276,47887947)@chr13@Human
RP:10162	PR:LOC:(6955608,6996103)@chr12@Human
RP:10163	PR:LOC:(27416268,27500811)@chr1@Human
RP:10164	PR:LOC:(70117560,70129917)@chr16@Human
